nombre-activo,nombre-marca,presentacion,registro-sanitario
AMPICILINA,AMPICILINA,1 g POLVO PARA SOLUCION INYECTABLE.,E.F.G.30.644
AMPICILINA,AMPICILINA,500 mg POLVO PARA SOLUCION INYECTABLE,E.F.G.30.639
AMPICILINA,AMPICILINA,1 g INYECTABLE,E.F.G.26.803
AMPICILINA,AMPICILINA,250 mg/5 mL POLVO PARA SUSPENSIÓN,E.F.G.26.578
AMPICILINA,AMPICILINA,1 g POLVO PARA SOLUCION INYECTABLE,E.F.G.26.423
AMPICILINA,AMPICILINA,500 mg CAPSULAS,E.F.G.24.970
AMPICILINA,AMPICILINA,250 mg / 5 mL POLVO PARA SUSPENSION ORAL,E.F.G.23.746
AMPICILINA,AMPICILINA,500 mg CAPSULAS.,E.F.G.23.048
AMPICILINA,AMPICILINA,500 mg CAPSULAS,E.F.G.22.832
AMPICILINA,AMPICILINA,500 mg POLVO PARA SUSPENSION INYECTABLE,E.F.G.22.139
AMPICILINA,AMPICILINA,500 mg CAPSULAS,E.F.G.20.831
AMPICILINA,AMPICILINA,250 mg /5 mL POLVO PARA SUSPENSION ORAL,E.F.G.19.207
AMPICILINA,AMPICILINA,250 mg/ 5 ml POLVO PARA SUSPENSION,E.F.G.17.629
AMPICILINA,AMPICILINA,125 mg / 5 mL POLVO PARA SUSPENSION,E.F.G.17.246
AMPICILINA,AMPICILINA,500 mg CAPSULAS,E.F.G.17.005
AMPICILINA,AMPICILINA,250 mg CAPSULAS,E.F.G.16.986
AMPICILINA,OFAGANTA,500 mg TABLETAS,E.F.39.108
AMPICILINA,OFAGANTA,1 g TABLETAS,E.F.39.025
AMPICILINA,AMPISOD,1 g POLVO PARA SOLUCIÓN INYECTABLE,E.F.34.934
AMPICILINA,AMPICILINA,250 mg/5 ml POLVO PARA SUSPENSION ORAL,E.F.24.809
AMPICILINA,AMPICILINA,125 mg/5 ml POLVO PARA SUSPENSION ORAL,E.F.24.808
AMPICILINA,LINADRA,500 mg CAPSULAS,E.F.21.764
AMPICILINA,AMPICILINA,250 mg POLVO PARA SUSPENSION ORAL,E.F.20.627
AMPICILINA,AMPICILINA,500 mg CAPSULAS,E.F.20.549
AMPICILINA,AMPICILINA,500 mg CAPSULAS,E.F.19.583
AMPICILINA,AMPILAN,250 mg/5 ml POLVO PARA SUSPENSION,E.F.18.753
AMPICILINA,AMPENINA,1 g POLVO PARA SOLUCION INYECTABLE,E.F.18.302
AMPICILINA-SULBACTAM,AMPICILINA-SULBACTAM,1.5 g POLVO ESTERIL PARA SOLUCION INYECTABLE,E.F.G.39.599
AMPICILINA-SULBACTAM,AMPICILINA-SULBACTAM,1.5 g POLVO PARA SOLUCIÓN INYECTABLE,E.F.G.35.065
AMPICILINA-SULBACTAM,AMINOXIDIN SULBACTAM,1 g - 500 mg POLVO PARA SOLUCION INYECTABLE IM-IV,E.F.G.32.909
AMPICILINA-SULBACTAM,AMPICILINA-SULBACTAM,1.5 g POLVO PARA SUSPENSION INYECTABLE,E.F.G.31.182
AMPICILINA-SULBACTAM,BANCLI,1000 mg - 500 mg POLVO PARA SOLUCION INYECTABLE,E.F.40.546
AMPICILINA-SULBACTAM,SYNABACT,1 g - 0.5 g POLVO PARA SOLUCION INYECTABLE,E.F.38.671
AMPICILINA-SULBACTAM,AMPIXIM,1.5 g POLVO PARA SOLUCION INYECTABLE,E.F.36.083
AMPICILINA-SULBACTAM,UNACILYN,1.5 g POLVO PARA SOLUCION INYECTABLE,E.F.35.815
AMPICILINA-SULBACTAM,SENTRAM,1 g - 0.5 g POLVO PARA SOLUCION INYECTABLE,E.F.35.797
AMPICILINA-SULBACTAM,SINIF,1 g - 0.5 g POLVO PARA SOLUCION INYECTABLE,E.F.31.265
AMPICILINA-SULBACTAM,SINIF,0.5 g - 0.25 g POLVO PARA SOLUCION INYECTABLE,E.F.31.264
AMPICILINA-SULBACTAM,AMPIBACTAN,1 g - 0.5 g POLVO PARA SOLUCION INYECTABLE,E.F.31.080
AMPICILINA-SULBACTAM,LIBRACTAM,1.5 g POLVO PARA SOLUCION INYECTABLE,E.F.31.029
AMPICILINA-SULBACTAM,SULAMP,1.5 g POLVO PARA SOLUCION INYECTABLE,E.F.30.107
AMPICILINA-SULBACTAM,UNASYN,1 g - 2 g POLVO LIOFILIZADO PARA SOLUCION INYECTABLE,E.F.25.532
AMPICILINA-SULBACTAM,UNASYN,0.5 g - 0.25 g POLVO LIOFILIZADO PARA SOLUCION INYECTABLE,E.F.25.361
AMPICILINA-SULBACTAM,UNASYN,1 g - 0.5 g POLVO LIOFILIZADO PARA SOLUCION INYECTABLE,E.F.25.360
ANASTROZOLE,ANASTROZOL,1 mg COMPRIMIDOS RECUBIERTOS,E.F.G.41.261
ANASTROZOLE,ANASTROZOL,1 mg TABLETAS RECUBIERTAS,E.F.G.40.652
ANASTROZOLE,ANASTROZOL,1 mg COMPRIMIDOS RECUBIERTOS,E.F.G.38.533
ANASTROZOLE,ANATZO,1 mg TABLETAS RECUBIERTAS,E.F.41.509
ANASTROZOLE,ZENSTRA,1 mg TABLETAS RECUBIERTAS,E.F.39.646
ANASTROZOLE,ANAMEX,1 mg TABLETAS RECUBIERTAS,E.F.36.786
ANASTROZOLE,TROZOLET,1 mg COMPRIMIDOS RECUBIERTOS,E.F.32.206
ANASTROZOLE,ARIMIDEX,1 mg TABLETAS RECUBIERTAS,E.F.29.367
ANFOTERICINA B,ANFOTERICINA-B,50 mg POLVO PARA SOLUCION INYECTABLE,E.F.G.36.626
ANFOTERICINA B,ANFOTERICINA B,POLVO LIOFILIZADO PARA INFUSION INTRAVENOSA.,E.F.G.34.827
ANFOTERICINA B,AMBISOME,50 mg POLVO LIOFILIZADO PARA DISPERSIÓN LIPOSOMAL PARA INFUSION,E.F.41.744
ANFOTERICINA B,ANFOCIN,50 mg POLVO LIOFILIZADO PARA INFUSION INTRAVENOSA,E.F.39.593
ANFOTERICINA B,AMPHOLIP,50 mg / 10 ml SUSPENSION PARA INFUSION INTRAVENOSA,E.F.38.732
ANFOTERICINA B,ANFIX,50 mg POLVO LIOFILIZADO PARA SOLUCIÓN INYECTABLE PARA INFUSIÓN,E.F.37.849
ANIDULAFUNGINA,ECALTA,100 mg POLVO LIOFILIZADO PARA SOLUCIÓN INTRAVENOSA.,E.F.39.544
ANTIMONIATO DE MEGLUMINE,GLUCANTIME,1.5 g/5 ml SOLUCION INYECTABLE,E.F.222
ANTIPIRINA,OTAMINA,0.06 g/ml SOLUCION GOTAS,E.F.13.947
ANTIPIRINA,OTO-FAR,4 g / 100 ml SOLUCION OTICA,E.F.12.047
ANTIPIRINA-BENZOCAINA-TIROTRICINA,OTAN,SOLUCION GOTAS,E.F.5.708
ANTIPIRINA-LIDOCAINA,OTAMINA PLUS,40 mg - 10 mg/ml SOLUCION GOTAS OTICAS,E.F.37.385
APIXABAN,ELIQUIS,5 mg COMPRIMIDOS RECUBIERTOS,E.F.41.050
APIXABAN,ELIQUIS,2.5 mg COMPRIMIDOS RECUBIERTOS,E.F.40.823
APREPITANT,EMEND,80 mg CAPSULAS,E.F.38.772
APREPITANT,EMEND,125 mg - 80 mg CAPSULAS,E.F.34.005
ARIPIPRAZOL,ARISKIZ,10 mg TABLETAS,E.F.40.948
ARIPIPRAZOL,ARIPRIN,5 mg COMPRIMIDOS,E.F.40.884
ARIPIPRAZOL,ENDAZOL,15 mg COMPRIMIDOS,E.F.40.848
ARIPIPRAZOL,ARISKIZ,15 mg TABLETAS,E.F.40.791
ARIPIPRAZOL,IRAZEM,10 mg COMPRIMIDOS,E.F.40.637
ARIPIPRAZOL,IRAZEM,20 mg COMPRIMIDOS,E.F.40.636
ARIPIPRAZOL,ARIPRIN,15 mg COMPRIMIDOS,E.F.37.495
ARIPIPRAZOL,IRMIL,15 mg COMPRIMIDOS,E.F.36.552
ARIPIPRAZOL,IRMIL,20 mg COMPRIMIDOS,E.F.36.256
ARIPIPRAZOL,IRMIL,10 mg COMPRIMIDOS,E.F.36.255
ARTEMETERO-LUMEFANTRINA,LARZETA,20 mg - 120 mg TABLETAS,E.F.41.664
ARTEMETERO-LUMEFANTRINA,COARTEM,20 mg - 120 mg COMPRIMIDOS,E.F.30.926
ARTEMETHER-LUMEFANTRINA,LARZETA,40 mg - 240 mg TABLETAS,E.F.41.724
ARTEMETHER-LUMEFANTRINA,COARTEM,20 mg - 120 mg COMPRIMIDOS DISPERSABLES,E.F.38.766
ARTICAINA-ADRENALINA (EPINEFRINA),SEPTANEST,4 %-1:100.000 SOLUCION INYECTABLE,E.F.34.735
ARTICAINA-ADRENALINA (EPINEFRINA),DELTAZINE CON ADRENALINA,4 %-1:100.000 SOLUCION INYECTABLE,E.F.36.332
ARTICAINA-EPINEFRINA,ARTICAÍNA-EPINEFRINA,4 %-1:100.000 SOLUCIÓN INYECTABLE,E.F.G.41.469
ATAPULGITA,STREPTOMAGMA,600 mg /15 ml SUSPENSIÓN REFORMULADO,E.F.3.595
ATAPULGITA-PEPTINA,STREPTOMAGMA REFORMULADO,500 mg - 45 mg TABLETAS.,E.F.9.463
ATAZANAVIR SULFATO,ANZAVIR,300 mg CAPSULAS,E.F.40.185
ATAZANAVIR SULFATO,REYATAZ,300 mg CÁPSULAS,E.F.37.610
ATAZANAVIR SULFATO,REYATAZ,150 mg CAPSULAS,E.F.33.750
ATAZANAVIR SULFATO,REYATAZ,200 mg CAPSULAS,E.F.33.748
ATENOLOL,ATENOLOL,100 mg COMPRIMIDOS,E.F.G.41.382
ATENOLOL,ATENOLOL,50 mg TABLETAS,E.F.G.40.376
ATENOLOL,ATENOLOL,50 mg TABLETAS,E.F.G.39.058
ATENOLOL,ATENOLOL,50 mg TABLETA,E.F.G.37.582
ATENOLOL,ATENOLOL,100 mg TABLETAS RECUBIERTAS,E.F.G.35.577
ATENOLOL,ATENOLOL,100 mg TABLETAS,E.F.G.35.464
ATENOLOL,ATENOLOL,100 mg TABLETAS RECUBIERTAS,E.F.G.35.313
ATENOLOL,ATENOLOL,50 mg TABLETAS RECUBIERTAS,E.F.G.35.220
ATENOLOL,ATENOLOL,50 mg TABLETAS,E.F.G.35.216
ATENOLOL,ATENOLOL,50 mg TABLETAS RECUBIERTAS,E.F.G.34.266
ATENOLOL,ATENOLOL,100 mg TABLETAS,E.F.G.33.993
ATENOLOL,ATENOLOL,50 mg COMPRIMIDOS,E.F.G.32.884
ATENOLOL,ATENOLOL,100 mg TABLETAS,E.F.G.32.274
ATENOLOL,ATENOLOL,50 mg TABLETAS,E.F.G.32.273
ATENOLOL,ATENOLOL,100 mg COMPRIMIDOS,E.F.G.29.498
ATENOLOL,ATENOLOL,50 mg COMPRIMIDOS,E.F.G.29.486
ATENOLOL,ATENOLOL,50 mg COMPRIMIDOS,E.F.G.28.258
ATENOLOL,ATENOLOL,50 mg COMPRIMIDOS,E.F.G.27.910
ATENOLOL,ATENOLOL,100 mg COMPRIMIDOS,E.F.G.26.555
ATENOLOL,ATENOLOL,50 mg COMPRIMIDOS,E.F.G.26.192
ATENOLOL,ATENOLOL,100 mg COMPRIMIDOS,E.F.G.26.047
ATENOLOL,ATENOLOL,50 mg COMPRIMIDOS,E.F.G.25.982
ATENOLOL,HISTENOL,100 mg COMPRIMIDOS,E.F.40.812
ATENOLOL,ATENOLOL,100 mg COMPRIMIDOS,E.F.26.100
ATENOLOL,ATENOLOL,50 mg TABLETAS,E.F.25.817
ATENOLOL,ATENOLOL,100 mg TABLETAS,E.F.25.816
ATENOLOL,BELOC,50 mg TABLETAS,E.F.25.720
ATENOLOL,BLOKIUM,5 mg SOLUCION INYECTABLE,E.F.24.590
ATENOLOL,BELOC,100 mg TABLETAS,E.F.24.196
ATENOLOL,ARTENOLOL,100 mg TABLETAS,E.F.23.768
ATENOLOL,BLOKIUM,50 mg COMPRIMIDOS,E.F.23.470
ATENOLOL,BLOKIUM,100 mg COMPRIMIDOS,E.F.22.761
ATENOLOL,TENORMIN,50 mg TABLETAS,E.F.21.879
ATENOLOL,TENORMIN,100 mg TABLETAS,E.F.21.367
ATENOLOL-CLORTALIDONA,DUORETIC,50 mg - 12.5 mg TABLETAS RECUBIERTAS,E.F.37.402
ATENOLOL-CLORTALIDONA,ATENOLOL,50 mg/CLORTALIDONA 12.5 mg COMPRIMIDOS,E.F.28.803
ATENOLOL-CLORTALIDONA,BLOKIURET,50 mg/12.5 mg COMPRIMIDOS,E.F.25.350
ATENOLOL-CLORTALIDONA,TENORETIC,50 mg - 12.5 mg TABLETAS,E.F.24.294
ATENOLOL-CLORTALIDONA,BLOKIURET,100 mg - 25 mg COMPRIMIDOS,E.F.23.484
ATENOLOL-CLORTALIDONA,TENORETIC,100 mg - 25 mg TABLETAS,E.F.22.550
ATOMOXETINA,STRATTERA,100 mg CÁPSULAS,E.F.39.868
ATOMOXETINA,STRATTERA,80 mg CÁPSULAS.,E.F.39.859
ATOMOXETINE,ABRETIA,60 mg CAPSULAS,E.F.36.440
ATOMOXETINE,ABRETIA,40 mg CAPSULAS,E.F.36.439
ATOMOXETINE,ABRETIA,25 mg CAPSULAS,E.F.36.438
ATOMOXETINE,ABRETIA,18 mg CAPSULAS,E.F.36.437
ATOMOXETINE,ABRETIA,10 mg CAPSULAS,E.F.36.296
ATOMOXETINE,STRATTERA,60 mg CÁPSULAS,E.F.34.397
ATOMOXETINE,STRATTERA,40 mg CÁPSULAS,E.F.34.396
ATOMOXETINE,STRATTERA,25 mg CÁPSULAS,E.F.34.395
ATOMOXETINE,STRATTERA,18 mg CÁPSULAS,E.F.34.394
ATOMOXETINE,STRATTERA,10 mg CÁPSULAS,E.F.34.393
ATORVASTATINA,ATORVASTATINA,40 mg COMPRIMIDOS RECUBIERTOS,E.F.G.40.428
ATORVASTATINA,ATORVASTATINA,40 mg COMPRIMIDOS RECUBIERTOS,E.F.G.40.306
ATORVASTATINA,ATORVASTATINA,80 mg TABLETAS RECUBIERTAS,E.F.G.40.064
ATORVASTATINA,ATORVASTATINA,80 mg TABLETAS RECUBIERTAS,E.F.G.40.062
ATORVASTATINA,ATORVASTATINA,20 mg COMPRIMIDOS RECUBIERTOS,E.F.G.39.872
ATORVASTATINA,ATORVASTATINA,80 mg COMPRIMIDOS RECUBEIRTOS,E.F.G.39.800
ATORVASTATINA,ATORVASTATINA,20 mg COMPRIMIDOS RECUBIERTOS,E.F.G.39.799
ATORVASTATINA,ATORVASTATINA,10 mg COMPRIMIDOS RECUBIERTOS,E.F.G.39.798
ATORVASTATINA,ATORVASTATINA,40 mg TABLETAS,E.F.G.39.464
ATORVASTATINA,ATORVASTATINA,20 mg COMPRIMIDOS RECUBIERTOS,E.F.G.39.008
ATORVASTATINA,ATORVASTATINA,40 mg TABLETAS RECUBIERTAS,E.F.G.39.007
ATORVASTATINA,ATORVASTATINA,40 mg TABLETAS RECUBIERTAS,E.F.G.38.966
ATORVASTATINA,ATORVASTATINA,40 mg COMPRIMIDOS RECUBIERTOS,E.F.G.38.905
ATORVASTATINA,ATORVASTATINA,40 mg TABLETAS,E.F.G.38.300
ATORVASTATINA,ATORVASTATINA,10 mg TABLETAS RECUBIERTAS,E.F.G.38.012
ATORVASTATINA,ATORVASTATINA,20 mg TABLETAS RECUBIERTAS,E.F.G.37.963
ATORVASTATINA,ATORVASTATINA,20 mg TABLETAS RECUBIERTAS,E.F.G.37.775
ATORVASTATINA,ATORVASTATINA,20 mg TABLETAS,E.F.G.36.817
ATORVASTATINA,ATORVASTATINA,10 mg TABLETAS,E.F.G.36.586
ATORVASTATINA,ATORVASTATINA,40 mg COMPRIMIDOS RECUBIERTOS,E.F.G.35.911
ATORVASTATINA,ATORVASTATINA,80 mg COMPRIMIDOS RECUBIERTOS,E.F.G.35.909
ATORVASTATINA,ATORVASTATINA,80 mg TABLETAS RECUBIERTAS,E.F.G.35.341
ATORVASTATINA,ATORVASTATINA,40 mg TABLETAS RECUBIERTAS,E.F.G.35.340
ATORVASTATINA,ATORVASTATINA,20 mg TABLETAS RECUBIERTAS,E.F.G.35.339
ATORVASTATINA,ATORVASTATINA,10 mg TABLETAS RECUBIERTAS,E.F.G.35.338
ATORVASTATINA,ATORVASTATINA,10 mg COMPRIMIDOS,E.F.G.33.044
ATORVASTATINA,ATORVASTATINA,20 mg COMPRIMIDOS,E.F.G.33.041
ATORVASTATINA,ATORVASTATINA,10 mg TABLETAS RECUBIERTAS,E.F.G.32.710
ATORVASTATINA,ATORVASTATINA,20 mg COMPRIMIDOS RECUBIERTOS,E.F.G.32.690
ATORVASTATINA,ATORVASTATINA,10 mg COMPRIMIDOS RECUBIERTOS,E.F.G.32.172
ATORVASTATINA,ATORKEY,10 mg TABLETAS RECUBIERTAS,E.F.41.653
ATORVASTATINA,ATORKEY,80 mg TABLETAS RECUBIERTAS,E.F.41.628
ATORVASTATINA,ATORKEY,40 mg TABLETAS RECUBIERTAS,E.F.41.627
ATORVASTATINA,ATORKEY,20 mg TABLETAS RECUBIERTAS,E.F.41.626
ATORVASTATINA,ATOREG,20 mg TABLETAS RECUBIERTAS,E.F.41.616
ATORVASTATINA,ATOREG,10 mg TABLETAS RECUBIERTAS,E.F.41.615
ATORVASTATINA,TROMAT,10 mg COMPRIMIDOS RECUBIERTOS,E.F.41.468
ATORVASTATINA,ATOCOR,80 mg TABLETAS RECUBIERTAS,E.F.40.825
ATORVASTATINA,XTOR,20 mg TABLETAS RECUBIERTAS,E.F.40.796
ATORVASTATINA,ATORXA,40 mg COMPRIMIDOS RECUBIERTOS,E.F.40.456
ATORVASTATINA,SALCOR,40 mg COMPRIMIDOS RECUBIERTOS,E.F.40.301
ATORVASTATINA,ALKOR,20 mg TABLETAS RECUBIERTAS,E.F.40.289
ATORVASTATINA,ATORTINA,20 mg COMPRIMIDOS RECUBIERTOS,E.F.40.227
ATORVASTATINA,VOLUNTA,10 mg COMPRIMIDOS RECUBIERTOS,E.F.40.176
ATORVASTATINA,FILSTATIN,80 mg TABLETAS RECUBIERTAS,E.F.40.166
ATORVASTATINA,FILSTATIN,40 mg TABLETAS RECUBIERTAS,E.F.40.165
ATORVASTATINA,VOLUNTA,40 mg COMPRIMIDOS RECUBIERTOS,E.F.39.781
ATORVASTATINA,VOLUNTA,20 mg COMPRIMIDOS RECUBIERTOS,E.F.39.780
ATORVASTATINA,SALCOR,10 mg COMPRIMIDOS RECUBIERTOS,E.F.39.773
ATORVASTATINA,SALCOR,20 mg COMPRIMIDOS RECUBIERTOS,E.F.39.772
ATORVASTATINA,ATSTAT,40 mg TABLETAS RECUBIERTAS,E.F.39.711
ATORVASTATINA,ANTIP,80 mg TABLETAS RECUBIERTAS,E.F.39.650
ATORVASTATINA,ATOCOR,40 mg TABLETAS RECUBIERTAS,E.F.39.535
ATORVASTATINA,ATORVACOF,20 mg TABLETAS RECUBIERTAS,E.F.39.468
ATORVASTATINA,ATORVACOF,10 mg TABLETAS RECUBIERTAS,E.F.39.467
ATORVASTATINA,AVSTAT,10 mg TABLETAS RECUBIERTAS,E.F.39.275
ATORVASTATINA,ATOVAROL,10 mg CÁPSULAS BLANDAS,E.F.39.163
ATORVASTATINA,TORVASTIM,40 mg COMPRIMIDOS RECUBIERTOS,E.F.39.006
ATORVASTATINA,TORVASTIM,80 mg COMPRIMIDOS RECUBIERTOS,E.F.39.005
ATORVASTATINA,TORVASTIM,10 mg COMPRIMIDOS RECUBIERTOS,E.F.39.004
ATORVASTATINA,TORVASTIM,20 mg COMPRIMIDOS RECUBIERTOS,E.F.39.003
ATORVASTATINA,AZTOR,40 mg TABLETAS RECUBIERTAS,E.F.39.002
ATORVASTATINA,CORASTATIN,20 mg TABLETAS,E.F.38.775
ATORVASTATINA,CORASTATIN,10 mg TABLETAS RECUBIERTAS,E.F.38.586
ATORVASTATINA,STEINSTATIN,40 mg TABLETAS RECUBIERTAS,E.F.38.427
ATORVASTATINA,AZTOR,20 mg TABLETAS RECUBIERTAS,E.F.38.291
ATORVASTATINA,AZTOR,10 mg TABLETAS RECUBIERTAS,E.F.38.290
ATORVASTATINA,BIOVASTIN,10 TABLETAS,E.F.38.192
ATORVASTATINA,BIOVASTIN,20 TABLETAS,E.F.38.191
ATORVASTATINA,ANTIP,40 mg TABLETAS RECUBIERTAS,E.F.37.986
ATORVASTATINA,ATOVAROL,40 mg CAPSULAS BLANDAS,E.F.37.482
ATORVASTATINA,ATOVAROL,20 mg CAPSULAS BLANDAS,E.F.37.481
ATORVASTATINA,LESTECOL,20 mg TABLETAS RECUBIERTAS,E.F.37.396
ATORVASTATINA,LESTECOL,40 mg TABLETAS RECUBIERTAS,E.F.36.952
ATORVASTATINA,FILSTATIN,20 mg TABLETAS RECUBIERTAS,E.F.36.451
ATORVASTATINA,ATOVAROL,80 mg TABLETAS RECUBIERTAS,E.F.36.218
ATORVASTATINA,ATOVAROL,40 mg TABLETAS RECUBIERTAS,E.F.36.217
ATORVASTATINA,ATOCOR,20 mg TABLETAS RECUBIERTAS,E.F.34.892
ATORVASTATINA,ATOCOR,10 mg TABLETAS RECUBIERTAS,E.F.34.782
ATORVASTATINA,ANTIP,20 mg TABLETAS RECUBIERTAS,E.F.34.288
ATORVASTATINA,ANTIP,10 mg TABLETAS RECUBIERTAS,E.F.34.287
ATORVASTATINA,LIPOVAS,20 mg TABLETAS RECUBIERTAS,E.F.33.360
ATORVASTATINA,LIPOVAS,10 mg TABLETAS RECUBIERTAS,E.F.33.327
ATORVASTATINA,GLUSTAR,20 mg TABLETAS RECUBIERTAS,E.F.32.709
ATORVASTATINA,GLUSTAR,10 mg TABLETAS,E.F.32.708
ATORVASTATINA,TARIMYL,20 mg COMPRIMIDOS RECUBIERTOS,E.F.32.689
ATORVASTATINA,ATOVAROL,10 mg TABLETAS RECUBIERTAS,E.F.32.177
ATORVASTATINA,ATOVAROL,20 mg TABLETAS RECUBIERTAS,E.F.32.176
ATORVASTATINA,LIPITOR,80 mg TABLETAS RECUBIERTAS,E.F.31.908
ATORVASTATINA,LIPITOR,40 mg TABLETAS RECUBIERTAS,E.F.31.907
ATORVASTATINA,LIPITOR,20 mg TABLETAS RECUBIERTAS,E.F.29.657
ATORVASTATINA,LIPITOR,10 mg TABLETAS,E.F.29.656
ATRACURIO BESILATO,BESILATO DE ATRACURIO,25 mg/2.5 ml SOLUCION INYECTABLE PARA INFUSION INTRAVENOSA,E.F.G.39.718
ATRACURIO BESILATO,ATRACURIO BELISATO,10 mg / mL SOLUCION INYECTABLE INTRAVENOSA,E.F.G.34.066
ATRACURIO BESILATO,ATRACURIO BESILATO,10 mg/ml SOLUCION INYECTABLE,E.F.G.31.050
ATROPINA SULFATO,ATROPINA SULFATO,1 mg / mL SOLUCION INYECTABLE,E.F.G.41.067
ATROPINA SULFATO,ATROPINA SULFATO,0.5 mg/ml SOLUCION INYECTABLE,E.F.G.36.806
ATROPINA SULFATO,ATROPINA SULFATO,1 mg / ml SOLUCIÓN INYECTABLE,E.F.G.35.376
ATROPINA SULFATO,ATROPINA SULFATO,0.5 mg /ml SOLUCION INYECTABLE,E.F.G.32.659
ATROPINA SULFATO,ATROPIN,0.5 mg /ml SOLUCION INYECTABLE,E.F.33.503
ATROPINA SULFATO,ATROPICEL,0.5 % SOLUCION OFTALMICA,E.F.27.690
ATROPINA SULFATO,ATROPICEL,1 % SOLUCION OFTALMICA,E.F.27.582
ATROPINA SULFATO,SULFATO DE ATROPINA,0.5 mg/ml SOLUCION INYECTABLE,E.F.1.734
AXITINIB,INLYTA,5 mg TABLETAS RECUBIERTAS,E.F.40.951
AXITINIB,INLYTA,1 mg TABLETAS RECUBIERTAS,E.F.40.950
AZACITIDINA,MIELOZITIDINA,100 mg POLVO LIOFILIZADO PARA SUSPENSIÓN INYECTABLE,E.F.41.568
AZACITIDINA,VIDAZA,100 mg POLVO LIOFILIZADO PARA SUSPENSION INYECTABLE,E.F.40.108
AZATIOPRINA,AZATHIOPRINA,50 mg TABLETAS,E.F.G.30.744
AZATIOPRINA,AZAPRIN,50 mg COMPRIMIDOS,E.F.30.032
AZELASTINA,AZELASTINA,0.14 mg SOLUCION NASAL EN NEBULIZADOR,E.F.G.39.801
AZELASTINA,AZELAIR,0.14 mg SOLUCION NASAL EN NEBULIZADOR,E.F.39.803
AZELASTINA,AZ OFTENO,0.5 mg SOLUCION OFTALMICA,E.F.39.069
AZELASTINA,AZEL,0.05 % SOLUCIÓN OFTALMICA GOTAS,E.F.34.915
AZELASTINA,ALERGOT,0.05 % SOLUCION OFTALMICA,E.F.33.876
AZELASTINA,BRIXIA,0.05 % SOLUCION OFTALMICA,E.F.32.168
AZITROMICINA,AZITROMICINA,500 mg COMPRIMIDOS RECUBIERTOS,E.F.G.41.086
AZITROMICINA,AZITROMICINA,500 mg COMPRIMIDOS RECUBIERTOS,E.F.G.40.991
AZITROMICINA,AZITROMICINA,200 mg / 5 ml POLVO PARA SUSPENSION ORAL,E.F.G.38.973
AZITROMICINA,AZITROMICINA,500 mg POLVO LIOFILIZADO PARA INFUSIÓN INTRAVENOSA,E.F.G.38.059
AZITROMICINA,AZITROMICINA,200 mg/5 ml POLVO PARA SUSPENSION ORAL,E.F.G.36.231
AZITROMICINA,AZITROMICINA,200 mg / 5 ml POLVO PARA SUSPENSIÓN,E.F.G.35.759
AZITROMICINA,AZITROMICINA,500 mg CÁPSULAS,E.F.G.34.800
AZITROMICINA,AZITROMICINA,500 mg TABLETAS RECUBIERTAS,E.F.G.34.643
AZITROMICINA,AZITROMICINA,500 mg TABLETAS RECUBIERTAS,E.F.G.34.341
AZITROMICINA,AZITROMICINA,500 mg TABLETAS RECUBIERTAS,E.F.G.34.225
AZITROMICINA,AZITROMICINA,500 mg TABLETAS,E.F.G.34.182
AZITROMICINA,AZITROMICINA,500 mg COMPRIMIDOS RECUBIERTOS,E.F.G.33.074
AZITROMICINA,AZITROMICINA,250 mg CAPSULAS,E.F.G.32.623
AZITROMICINA,AZITROMICINA,200 mg/5 ml POLVO PARA SUSPENSION ORAL USO PEDIATRICO,E.F.G.31.590
AZITROMICINA,AZITROMICINA,500 mg COMPRIMIDOS RECUBIERTOS,E.F.G.31.564
AZITROMICINA,AZITROMICINA,200 mg/5 ml POLVO PARA RECONSTITUIR,E.F.G.30.864
AZITROMICINA,AZITROMICINA,500 mg CAPSULAS,E.F.G.30.836
AZITROMICINA,AZITROMICINA,500 mg CAPSULAS,E.F.G.30.825
AZITROMICINA,AZITROMICINA,500 mg TABLETAS,E.F.G.30.800
AZITROMICINA,AZITROMICINA,500 mg CAPSULAS,E.F.G.30.615
AZITROMICINA,AZITROMICINA,500 mg TABLETAS RECUBIERTAS,E.F.G.30.182
AZITROMICINA,AZITROMICINA,500 mg COMPRIMIDOS RECUBIERTOS,E.F.G.28.805
AZITROMICINA,AZITROMICINA,200 mg/5 ml POLVO PARA SUSPENSION,E.F.G.28.740
AZITROMICINA,ASTROCINA,500 mg COMPRIMIDOS RECUBIERTOS,E.F.41.433
AZITROMICINA,MACROSAFE,500 mg TABLETAS RECUBIERTAS,E.F.41.224
AZITROMICINA,RICILINA,200 mg/5 mL POLVO PARA SUSPENSION ORAL,E.F.40.655
AZITROMICINA,AZITROBIOCINA,500 mg POLVO LIOFILIZADO PARA SOLUCION INYECTABLE,E.F.40.153
AZITROMICINA,SURGOT,1 % SOLUCIÓN OFTÁLMICA ESTÉRIL,E.F.40.095
AZITROMICINA,RICILINA,500 mg COMPRIMIDOS RECUBIERTOS,E.F.39.888
AZITROMICINA,TROMIZID,500 mg COMPRIMIDOS RECUBIERTOS,E.F.39.379
AZITROMICINA,SAVER,200 mg/5 ml POLVO PARA SUSPENSION ORAL,E.F.38.854
AZITROMICINA,ATROMAX,500 mg POLVO LIOFILIZADO PARA SOLUCION INYECTABLE,E.F.38.087
